DCM;Công ty Cổ phần Phân bón Dầu khí Cà Mau;Nguyên vật liệu;0
DHA;Công ty Cổ phần Hóa An;Nguyên vật liệu;0
DHC;Công ty Cổ phần Đông Hải Bến Tre;Nguyên vật liệu;0
DHM;Công ty Cổ phần Thương mại & Khai thác Khoáng sản Dương Hiếu;Nguyên vật liệu;0
DPM;Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần;Nguyên vật liệu;0
DPR;Công ty Cổ phần Cao su Đồng Phú;Nguyên vật liệu;0
DTL;Công ty Cổ phần Đại Thiên Lộc;Nguyên vật liệu;0
DTT;Công ty Cổ phần Kỹ nghệ Đô Thành;Nguyên vật liệu;0
DXV;Công ty Cổ phần Vicem Vật liệu Xây dựng Đà Nẵng;Nguyên vật liệu;0
FCM;Công ty Cổ phần Khoáng sản FECON;Nguyên vật liệu;0
GAB;Công ty Cổ phần Đầu tư Khai khoáng & Quản lý Tài sản FLC;Nguyên vật liệu;0
GTA;Công ty Cổ phần Chế biến Gỗ Thuận An;Nguyên vật liệu;0
HAI;Công ty Cổ phần Nông dược HAI;Nguyên vật liệu;0
HAP;Công ty Cổ phần Tập đoàn HAPACO;Nguyên vật liệu;0
HII;Công ty Cổ phần An Tiến Industries;Nguyên vật liệu;0
HMC;Công ty Cổ phần Kim khí Thành phố Hồ Chí Minh - Vnsteel;Nguyên vật liệu;0
HPG;Công ty Cổ phần Tập đoàn Hòa Phát;Nguyên vật liệu;1
HRC;Công ty Cổ phần Cao su Hòa Bình;Nguyên vật liệu;0
HSG;Công ty Cổ phần Tập đoàn Hoa Sen;Nguyên vật liệu;0
HT1;Công ty Cổ phần Xi măng Hà Tiên 1;Nguyên vật liệu;0
HVX;Công ty Cổ phần Xi măng Vicem Hải Vân;Nguyên vật liệu;0
KPF;Công ty Cổ phần Đầu tư Tài chính Hoàng Minh;Nguyên vật liệu;0
KSB;Công ty Cổ phần Khoáng sản và Xây dựng Bình Dương;Nguyên vật liệu;0
LBM;Công ty Cổ phần Khoáng sản và Vật liệu Xây dựng Lâm Đồng;Nguyên vật liệu;0
LCM;Công ty Cổ phần Khai thác và Chế biến Khoáng sản Lào Cai;Nguyên vật liệu;0
MCP;Công ty Cổ phần In và Bao bì Mỹ Châu;Nguyên vật liệu;0
NAV;Công ty Cổ phần Nam Việt;Nguyên vật liệu;0
NKG;Công ty Cổ phần Thép Nam Kim;Nguyên vật liệu;0
NNC;Công ty Cổ phần Đá Núi Nhỏ;Nguyên vật liệu;0
PLP;Công ty Cổ phần Sản xuất và Công nghệ Nhựa Pha Lê;Nguyên vật liệu;0
POM;Công ty Cổ phần Thép POMINA;Nguyên vật liệu;0
PTB;Công ty Cổ phần Phú Tài;Nguyên vật liệu;0
PHR;Công ty Cổ phần Cao su Phước Hòa;Nguyên vật liệu;0
